File mappings for integration of Perl 5.6.1 into Solaris 9,,,,,,,,,
"Version 6, 30/05/2001",,,,,,,,,
,,,,,,,,,
./,perly.c,X,distrib,X,distrib,
./,perly.fixer,X,,X,delete,
./,perly.h,X,distrib,X,distrib,
./,perly.y,X,,X,delete,
./,perly_c.diff,X,,X,delete,
./,pp.c,X,distrib,X,distrib,
./,pp.h,X,distrib,X,distrib,
./,pp.sym,,,X,delete,X
./,pp_ctl.c,X,distrib,X,distrib,
./,pp_hot.c,X,distrib,X,distrib,
./,pp_proto.h,X,distrib,X,distrib,
./,pp_sys.c,X,distrib,X,distrib,
./,proto.h,X,distrib,X,distrib,
./,regcomp.c,X,distrib,X,distrib,
./,regcomp.h,X,distrib,X,distrib,
./,regcomp.pl,X,,X,delete,
./,regcomp.sym,X,,X,delete,
./,regexec.c,X,distrib,X,distrib
./,regexp.h,X,distrib,X,distrib
./,regnodes.h,X,distrib,X,distrib
./,req.flg,,X,,copy
./,run.c,X,distrib,X,distrib
./,scope.c,X,distrib,X,distrib
./,scope.h,X,distrib,X,distrib
./,sv.c,X,distrib,X,distrib
./,sv.h,X,distrib,X,distrib
./,taint.c,X,distrib,X,distrib
./,thrdvar.h,X,distrib,X,distrib
./,thread.h,X,distrib,X,distrib
./,thread.sym,X,,,delete
./,toke.c,X,distrib,X,distrib
./,universal.c,X,distrib,X,distrib
./,unixish.h,X,distrib,X,distrib
./,utf8.c,,,X,distrib,X
./,utf8.h,,,X,distrib,X
./,util.c,X,distrib,X,distrib,
./,util.h,X,distrib,X,distrib,
./,warnings.h,,,X,distrib,X
./,warnings.pl,,,X,delete,X
./,writemain,X,,X,,
./,writemain.SH,X,,X,distrib,
./,xsutils.c,,,X,distrib,X
./.config/,README,X,,X,delete,
./.config/,instruct,X,,X,delete,
./Porting/,Contract,X,,X,delete,
./Porting/,Glossary,X,distrib,X,distrib,
./Porting/,config.sh,X,,X,delete,
./Porting/,config_H,X,,X,delete,
./Porting/,findvars,X,,X,delete,
./Porting/,fixCORE,X,,X,delete,
./Porting/,fixvars,X,,X,delete,
./Porting/,genlog,X,,X,delete,
./Porting/,makerel,X,,X,delete,
./Porting/,p4d2p,X,,X,delete,
./Porting/,p4desc,,,X,delete,X
./Porting/,patching.pod,X,,X,delete,
./Porting/,patchls,X,,X,delete,
./Porting/,pumpkin.pod,X,,X,delete,
./Porting/,repository.pod,,,X,delete,X
./apollo/netinet/,in.h,X,,X,delete,
./beos/,nm.c,X,,X,delete,
./contrib/,Makefile,,X,,copy,
./contrib/,README,,X,,copy,
./contrib/SUNW/,README,,X,,copy,
./contrib/Solaris/,README,,X,,copy,
./contrib/Sun/Solaris/Kstat/,Kstat.pm,,X,,copy,
./contrib/Sun/Solaris/Kstat/,Kstat.xs,,X,,copy,
./contrib/Sun/Solaris/Kstat/,Makefile.PL,,X,,copy,
./contrib/Sun/Solaris/Kstat/t/,Kstat.t,,X,,copy,
./contrib/Sun/Solaris/Project/,Makefile.PL,,X,,copy,
./contrib/Sun/Solaris/Project/,Project.pm,,X,,copy,
./contrib/Sun/Solaris/Project/,Project.xs,,X,,copy,
./contrib/Sun/Solaris/Project/,typemap,,X,,copy,
./contrib/Sun/Solaris/Project/t/,Project.t,,X,,copy,
./contrib/Sun/Solaris/Utils/,Makefile.PL,,X,,copy,
./contrib/Sun/Solaris/Utils/,Utils.pm,,X,,copy,
./contrib/Sun/Solaris/Utils/,Utils.xs,,X,,copy,
./contrib/Sun/Solaris/Utils/t/,gmatch.t,,X,,copy,
./cygwin/,Makefile.SHs,,,X,delete,X
./cygwin/,cygwin.c,,,X,delete,X
./cygwin/,ld2.in,,,X,delete,X
./cygwin/,perlld.in,,,X,delete,X
./cygwin32/,cw32imp.h,X,,,delete,
./cygwin32/,gcc2,X,,,delete,
./cygwin32/,ld2,X,,,delete,
./cygwin32/,perlgcc,X,,,delete,
./cygwin32/,perlld,X,,,delete,
./djgpp/,config.over,X,,X,delete,
./djgpp/,configure.bat,X,,X,delete,
./djgpp/,djgpp.c,X,,X,delete,
./djgpp/,djgppsed.sh,X,,X,delete,
./djgpp/,fixpmain,X,,X,delete,
./eg/,ADB,X,,X,delete,
./eg/,README,X,,X,delete,
./eg/,changes,X,,X,delete,
./eg/,client,X,,X,delete,
./eg/,down,X,,X,delete,
./eg/,dus,X,,X,delete
./eg/,findcp,X,,X,delete
./eg/,findtar,X,,X,delete
./eg/,muck,X,,X,delete
./eg/,muck.man,X,,X,delete
./eg/,myrup,X,,X,delete
./eg/,nih,X,,X,delete
./eg/,relink,X,,X,delete
./eg/,rename,X,,X,delete
./eg/,rmfrom,X,,X,delete
./eg/,server,X,,X,delete
./eg/,shmkill,X,,X,delete
./eg/,travesty,X,,X,delete
./eg/,unuc,X,,X,delete
./eg/,uudecode,X,,X,delete
./eg/,who,X,,X,delete
./eg/,wrapsuid,X,,X,delete,
./eg/cgi/,RunMeFirst,X,,X,delete,
./eg/cgi/,caution.xbm,X,,X,delete,
./eg/cgi/,clickable_image.cgi,X,,X,delete,
./eg/cgi/,cookie.cgi,X,,X,delete,
./eg/cgi/,crash.cgi,X,,X,delete,
./eg/cgi/,customize.cgi,X,,X,delete,
./eg/cgi/,diff_upload.cgi,X,,X,delete,
./eg/cgi/,dna.small.gif.uu,X,,,delete,
./eg/cgi/,dna_small_gif.uu,,,X,delete,X
./eg/cgi/,file_upload.cgi,X,,X,delete,
./eg/cgi/,frameset.cgi,X,,X,delete,
./eg/cgi/,index.html,X,,X,delete,
./eg/cgi/,internal_links.cgi,X,,X,delete,
./eg/cgi/,javascript.cgi,X,,X,delete,
./eg/cgi/,monty.cgi,X,,X,delete,
./eg/cgi/,multiple_forms.cgi,X,,X,delete,
./eg/cgi/,nph-clock.cgi,X,,X,delete,
./eg/cgi/,nph-multipart.cgi,X,,X,delete,
./eg/cgi/,popup.cgi,X,,X,delete,
./eg/cgi/,save_state.cgi,X,,X,delete,
./eg/cgi/,tryit.cgi,X,,X,delete,
./eg/cgi/,wilogo.gif.uu,X,,,delete,
./eg/cgi/,wilogo_gif.uu,,,X,delete,X
./eg/g/,gcp,X,,X,delete,
./eg/g/,gcp.man,X,,X,delete,
./eg/g/,ged,X,,X,delete,
./eg/g/,ghosts,X,,X,delete,
./eg/g/,gsh,X,,X,delete,
./eg/g/,gsh.man,X,,X,delete,
./eg/scan/,scan_df,X,,X,delete,
./eg/scan/,scan_last,X,,X,delete,
./eg/scan/,scan_messages,X,,X,delete,
./eg/scan/,scan_passwd,X,,X,delete,
./eg/scan/,scan_ps,X,,X,delete,
./eg/scan/,scan_sudo,X,,X,delete,
./eg/scan/,scan_suid,X,,X,delete,
./eg/scan/,scanner,X,,X,delete,
./eg/sysvipc/,README,X,,X,delete,
./eg/sysvipc/,ipcmsg,X,,X,delete,
./eg/sysvipc/,ipcsem,X,,X,delete,
./eg/sysvipc/,ipcshm,X,,X,delete,
./eg/van/,empty,X,,X,delete,
./eg/van/,unvanish,X,,X,delete,
./eg/van/,vanexp,X,,X,delete,
./eg/van/,vanish,X,,X,delete,
./emacs/,cperl-mode.el,X,,X,delete,
./emacs/,e2ctags.pl,,,X,delete,X
./emacs/,ptags,X,,X,delete,
./epoc/,config.sh,,,X,delete,X
./epoc/,createpkg.pl,,,X,delete,X
./epoc/,epoc.c,,,X,delete,X
./epoc/,epoc_stubs.c,,,X,delete,X
./epoc/,epocish.c,,,X,delete,X
./epoc/,epocish.h,,,X,delete,X
./epoc/,link.pl,,,X,delete,X
./ext/B/,B.bs,X,,X,delete,
./ext/B/,B.c,X,,X,delete,
./ext/B/,B.pm,X,distrib,X,distrib,
./ext/B/,B.xs,X,distrib,X,distrib,
./ext/B/,Makefile,X,,X,delete,
./ext/B/,Makefile.PL,X,distrib,X,distrib,
./ext/B/,NOTES,X,distrib,X,delete,
./ext/B/,O.pm,X,distrib,X,distrib,
./ext/B/,README,X,distrib,X,delete,
./ext/B/,TESTS,X,distrib,X,delete,
./ext/B/,Todo,X,distrib,X,delete,
./ext/B/,byteperl.c,X,distrib,,,
./ext/B/,defsubs.h,,,X,delete,X
./ext/B/,defsubs_h.PL,,,X,distrib,X
./ext/B/,pm_to_blib,X,,X,delete,
./ext/B/,typemap,X,distrib,X,distrib,
./ext/B/B/,Asmdata.pm,X,distrib,X,distrib,
./ext/B/B/,Assembler.pm,X,distrib,X,distrib,
./ext/B/B/,Bblock.pm,X,distrib,X,distrib,
./ext/B/B/,Bytecode.pm,X,distrib,X,distrib,
./ext/B/B/,C.pm,X,distrib,X,distrib,
./ext/B/B/,CC.pm,X,distrib,X,distrib,
./ext/B/B/,Concise.pm,,,X,distrib,X
./ext/B/B/,Debug.pm,X,distrib,X,distrib,
./ext/B/B/,Deparse.pm,X,distrib,X,distrib,
./ext/B/B/,Disassembler.pm,X,distrib,X,distrib,
./ext/B/B/,Lint.pm,X,distrib,X,distrib,
./ext/B/B/,Showlex.pm,X,distrib,X,distrib,
./ext/B/B/,Stackobj.pm,X,distrib,X,distrib,
./ext/B/B/,Stash.pm,,,X,distrib,X
./ext/B/B/,Terse.pm,X,distrib,X,distrib,
./ext/B/B/,Xref.pm,X,distrib,X,distrib,
./ext/B/B/,assemble,X,distrib,X,distrib,
./ext/B/B/,cc_harness,X,distrib,X,distrib,
./ext/B/B/,disassemble,X,distrib,X,distrib,
./ext/B/B/,makeliblinks,X,distrib,X,distrib,
./ext/B/ramblings/,cc.notes,X,distrib,X,delete,
./ext/B/ramblings/,curcop.runtime,X,distrib,X,delete,
./ext/B/ramblings/,flip-flop,X,distrib,X,delete,
./ext/B/ramblings/,magic,X,distrib,X,delete,
./ext/B/ramblings/,reg.alloc,X,distrib,X,delete,
./ext/B/ramblings/,runtime.porting,X,distrib,X,delete,
